,simulation_name,method_name,step_size,tolerance,total_iteration,simulation_time,computation_time
0,cnn_hole_fill_2,rkacem_system_method,0.1,0.5,13,30.0,2.622721910476685
1,cnn_hole_fill_2,rkacem_system_method,0.25,0.5,13,30.0,2.118518114089966
2,cnn_hole_fill_2,rkacem_system_method,0.5,0.5,14,30.0,2.6170663833618164
3,cnn_hole_fill_2,rkacem_system_method,0.75,0.5,14,30.0,2.450061559677124
4,cnn_hole_fill_2,rkacem_system_method,1.0,0.5,13,30.0,2.18202543258667
5,cnn_hole_fill_2,rkacem_system_method,1.25,0.5,13,30.0,2.386015653610229
6,cnn_hole_fill_2,rkacem_system_method,1.5,0.5,12,30.0,1.8808927536010744
7,cnn_hole_fill_2,rkacem_system_method,1.75,0.5,13,30.0,2.2712926864624023
8,cnn_hole_fill_2,rkacem_system_method,2.0,0.5,13,30.0,2.4956624507904053
9,cnn_hole_fill_2,rkacem_system_method,2.25,0.5,13,30.0,2.585263252258301
10,cnn_hole_fill_2,rkacem_system_method,0.1,0.1,14,30.0,2.2018964290618896
11,cnn_hole_fill_2,rkacem_system_method,0.25,0.1,15,30.0,2.613790512084961
12,cnn_hole_fill_2,rkacem_system_method,0.5,0.1,13,30.0,1.808933973312378
13,cnn_hole_fill_2,rkacem_system_method,0.75,0.1,14,30.0,2.3447790145874023
14,cnn_hole_fill_2,rkacem_system_method,1.0,0.1,13,30.0,2.2479825019836426
15,cnn_hole_fill_2,rkacem_system_method,1.25,0.1,13,30.0,2.264153957366944
16,cnn_hole_fill_2,rkacem_system_method,1.5,0.1,14,30.0,2.131807327270508
17,cnn_hole_fill_2,rkacem_system_method,1.75,0.1,14,30.0,2.4412662982940674
18,cnn_hole_fill_2,rkacem_system_method,2.0,0.1,14,30.0,2.484855890274048
19,cnn_hole_fill_2,rkacem_system_method,2.25,0.1,14,30.0,2.3249425888061523
20,cnn_hole_fill_2,rkacem_system_method,0.1,0.05,15,30.0,2.5699222087860107
21,cnn_hole_fill_2,rkacem_system_method,0.25,0.05,14,30.0,2.3714189529418945
22,cnn_hole_fill_2,rkacem_system_method,0.5,0.05,14,30.0,2.182608127593994
23,cnn_hole_fill_2,rkacem_system_method,0.75,0.05,14,30.0,2.5045828819274902
24,cnn_hole_fill_2,rkacem_system_method,1.0,0.05,14,30.0,2.9122376441955566
25,cnn_hole_fill_2,rkacem_system_method,1.25,0.05,14,30.0,2.304760456085205
26,cnn_hole_fill_2,rkacem_system_method,1.5,0.05,13,30.0,1.8412771224975584
27,cnn_hole_fill_2,rkacem_system_method,1.75,0.05,14,30.0,2.7235050201416016
28,cnn_hole_fill_2,rkacem_system_method,2.0,0.05,14,30.0,2.6814653873443604
29,cnn_hole_fill_2,rkacem_system_method,2.25,0.05,14,30.0,2.707144498825073
30,cnn_hole_fill_2,rkacem_system_method,0.1,0.01,8,8.126646226580213,1.0863981246948242
31,cnn_hole_fill_2,rkacem_system_method,0.25,0.01,8,9.187523848423345,0.9678897857666016
32,cnn_hole_fill_2,rkacem_system_method,0.5,0.01,16,30.0,2.596837520599365
33,cnn_hole_fill_2,rkacem_system_method,0.75,0.01,7,7.955476160463782,0.834242582321167
34,cnn_hole_fill_2,rkacem_system_method,1.0,0.01,7,8.63522351239752,0.8253757953643799
35,cnn_hole_fill_2,rkacem_system_method,1.25,0.01,7,8.629382241529619,0.8265852928161621
36,cnn_hole_fill_2,rkacem_system_method,1.5,0.01,7,8.400356673918505,0.9369406700134276
37,cnn_hole_fill_2,rkacem_system_method,1.75,0.01,15,30.0,2.864607334136963
38,cnn_hole_fill_2,rkacem_system_method,2.0,0.01,7,7.741218385472693,0.9162356853485109
39,cnn_hole_fill_2,rkacem_system_method,2.25,0.01,8,9.63344234752786,1.2000036239624023
40,cnn_hole_fill_2,rkacem_system_method,0.1,0.005,9,8.502468099079378,1.3185043334960938
41,cnn_hole_fill_2,rkacem_system_method,0.25,0.005,8,7.721735725848935,1.3444383144378662
42,cnn_hole_fill_2,rkacem_system_method,0.5,0.005,8,7.950907962023036,1.0602540969848633
43,cnn_hole_fill_2,rkacem_system_method,0.75,0.005,7,7.307790373982163,1.0016117095947266
44,cnn_hole_fill_2,rkacem_system_method,1.0,0.005,7,7.844432180596749,0.8611783981323242
45,cnn_hole_fill_2,rkacem_system_method,1.25,0.005,7,7.579292854354144,0.9778094291687012
46,cnn_hole_fill_2,rkacem_system_method,1.5,0.005,8,9.30143265624538,1.0350568294525146
47,cnn_hole_fill_2,rkacem_system_method,1.75,0.005,8,7.849709913338007,1.1630041599273682
48,cnn_hole_fill_2,rkacem_system_method,2.0,0.005,8,8.99444282768918,1.0296695232391355
49,cnn_hole_fill_2,rkacem_system_method,2.25,0.005,8,7.547652497764655,1.236821174621582
50,cnn_hole_fill_2,rkacem_system_method,0.1,0.001,10,8.232391424099502,1.4091594219207764
51,cnn_hole_fill_2,rkacem_system_method,0.25,0.001,9,7.120860069196677,1.062060832977295
52,cnn_hole_fill_2,rkacem_system_method,0.5,0.001,9,7.948851089754075,1.1745502948760986
53,cnn_hole_fill_2,rkacem_system_method,0.75,0.001,9,7.99592635635608,1.2262389659881592
54,cnn_hole_fill_2,rkacem_system_method,1.0,0.001,9,8.246566733545382,1.1618525981903076
55,cnn_hole_fill_2,rkacem_system_method,1.25,0.001,9,7.984979317850525,1.2509899139404297
56,cnn_hole_fill_2,rkacem_system_method,1.5,0.001,9,7.720574193576904,1.2110400199890137
57,cnn_hole_fill_2,rkacem_system_method,1.75,0.001,9,7.427589592962062,1.252260446548462
58,cnn_hole_fill_2,rkacem_system_method,2.0,0.001,9,7.481893691237374,1.2064175605773926
59,cnn_hole_fill_2,rkacem_system_method,2.25,0.001,9,7.098308443557364,1.4551093578338623
60,cnn_hole_fill_2,rkacem_system_method,0.1,0.0005,10,6.872327013165416,1.4070346355438232
61,cnn_hole_fill_2,rkacem_system_method,0.25,0.0005,10,7.064196561677681,1.1906440258026123
62,cnn_hole_fill_2,rkacem_system_method,0.5,0.0005,10,7.666935768007593,1.339524269104004
63,cnn_hole_fill_2,rkacem_system_method,0.75,0.0005,10,7.667026552726724,1.636061668395996
64,cnn_hole_fill_2,rkacem_system_method,1.0,0.0005,10,7.722909430805433,1.519782304763794
65,cnn_hole_fill_2,rkacem_system_method,1.25,0.0005,10,7.742924510217839,1.535006046295166
66,cnn_hole_fill_2,rkacem_system_method,1.5,0.0005,10,7.634630198821022,1.3459548950195312
67,cnn_hole_fill_2,rkacem_system_method,1.75,0.0005,10,7.676095542141017,1.327317237854004
68,cnn_hole_fill_2,rkacem_system_method,2.0,0.0005,10,7.8570100184939635,1.3760981559753418
69,cnn_hole_fill_2,rkacem_system_method,2.25,0.0005,10,7.073524180105511,1.4599940776824951
70,cnn_hole_fill_2,rkacem_system_method,0.1,0.0001,13,6.998310536691757,1.870532989501953
71,cnn_hole_fill_2,rkacem_system_method,0.25,0.0001,12,6.82766026968247,1.6164133548736572
72,cnn_hole_fill_2,rkacem_system_method,0.5,0.0001,12,7.0985600014911565,1.618001937866211
73,cnn_hole_fill_2,rkacem_system_method,0.75,0.0001,12,7.087192036731501,1.5940353870391846
74,cnn_hole_fill_2,rkacem_system_method,1.0,0.0001,12,7.113661889820978,1.5168302059173584
75,cnn_hole_fill_2,rkacem_system_method,1.25,0.0001,12,7.052283475099332,1.6510586738586426
76,cnn_hole_fill_2,rkacem_system_method,1.5,0.0001,12,7.001064409425759,1.6008496284484863
77,cnn_hole_fill_2,rkacem_system_method,1.75,0.0001,12,6.746341078719655,1.7512271404266355
78,cnn_hole_fill_2,rkacem_system_method,2.0,0.0001,13,7.316361628233127,1.7899422645568848
79,cnn_hole_fill_2,rkacem_system_method,2.25,0.0001,13,6.941836662271773,1.935375452041626
80,cnn_hole_fill_2,rkacem_system_method,0.1,5e-05,15,7.223386577720358,2.258020162582397
81,cnn_hole_fill_2,rkacem_system_method,0.25,5e-05,14,7.035983117574,1.5748283863067627
82,cnn_hole_fill_2,rkacem_system_method,0.5,5e-05,14,7.040028816729642,1.8919885158538816
83,cnn_hole_fill_2,rkacem_system_method,0.75,5e-05,13,7.047084489171066,1.7042524814605713
84,cnn_hole_fill_2,rkacem_system_method,1.0,5e-05,13,7.184047209162155,1.6874043941497805
85,cnn_hole_fill_2,rkacem_system_method,1.25,5e-05,14,7.479823516674773,1.823145866394043
86,cnn_hole_fill_2,rkacem_system_method,1.5,5e-05,14,7.126459022550749,1.8377671241760247
87,cnn_hole_fill_2,rkacem_system_method,1.75,5e-05,14,7.164716989390205,1.926591396331787
88,cnn_hole_fill_2,rkacem_system_method,2.0,5e-05,14,7.071144756639785,2.031738042831421
89,cnn_hole_fill_2,rkacem_system_method,2.25,5e-05,15,6.929782119290977,2.276287317276001
90,cnn_hole_fill_2,rkcom_system_method,0.1,0.5,14,30.0,2.689739227294922
91,cnn_hole_fill_2,rkcom_system_method,0.25,0.5,15,27.736295736564184,2.37793493270874
92,cnn_hole_fill_2,rkcom_system_method,0.5,0.5,14,30.0,2.24449110031128
93,cnn_hole_fill_2,rkcom_system_method,0.75,0.5,14,30.0,2.2893166542053223
94,cnn_hole_fill_2,rkcom_system_method,1.0,0.5,14,30.0,2.244891166687012
95,cnn_hole_fill_2,rkcom_system_method,1.25,0.5,14,30.0,2.641554594039917
96,cnn_hole_fill_2,rkcom_system_method,1.5,0.5,14,30.0,2.409297227859497
97,cnn_hole_fill_2,rkcom_system_method,1.75,0.5,13,30.0,2.270639181137085
98,cnn_hole_fill_2,rkcom_system_method,2.0,0.5,14,30.0,2.7560744285583496
99,cnn_hole_fill_2,rkcom_system_method,2.25,0.5,15,30.0,2.90731167793274
100,cnn_hole_fill_2,rkcom_system_method,0.1,0.1,8,7.595058462990261,1.0300681591033936
101,cnn_hole_fill_2,rkcom_system_method,0.25,0.1,8,8.569386070534359,0.9610910415649414
102,cnn_hole_fill_2,rkcom_system_method,0.5,0.1,16,31.69299874825668,2.3612217903137207
103,cnn_hole_fill_2,rkcom_system_method,0.75,0.1,15,30.0,2.447873592376709
104,cnn_hole_fill_2,rkcom_system_method,1.0,0.1,16,30.0,2.97916579246521
105,cnn_hole_fill_2,rkcom_system_method,1.25,0.1,15,30.0,2.4784157276153564
106,cnn_hole_fill_2,rkcom_system_method,1.5,0.1,15,26.864521000323585,2.317286729812622
107,cnn_hole_fill_2,rkcom_system_method,1.75,0.1,15,30.0,2.4055397510528564
108,cnn_hole_fill_2,rkcom_system_method,2.0,0.1,8,8.506710542026163,0.991241216659546
109,cnn_hole_fill_2,rkcom_system_method,2.25,0.1,13,21.5274976143009,2.056495428085327
110,cnn_hole_fill_2,rkcom_system_method,0.1,0.05,9,7.380847840681032,1.2947096824645996
111,cnn_hole_fill_2,rkcom_system_method,0.25,0.05,8,7.6453561067239315,0.920811414718628
112,cnn_hole_fill_2,rkcom_system_method,0.5,0.05,8,8.12056503983141,0.9980359077453612
113,cnn_hole_fill_2,rkcom_system_method,0.75,0.05,8,8.62026994567143,1.0208947658538818
114,cnn_hole_fill_2,rkcom_system_method,1.0,0.05,13,21.34631372108845,1.8440403938293457
115,cnn_hole_fill_2,rkcom_system_method,1.25,0.05,8,8.760060936109815,0.9859011173248292
116,cnn_hole_fill_2,rkcom_system_method,1.5,0.05,8,8.012897148476092,1.0919358730316162
117,cnn_hole_fill_2,rkcom_system_method,1.75,0.05,8,8.634156355837098,1.1019320487976074
118,cnn_hole_fill_2,rkcom_system_method,2.0,0.05,8,8.173165010726732,1.1725895404815674
119,cnn_hole_fill_2,rkcom_system_method,2.25,0.05,8,8.134942468669381,1.1640934944152832
120,cnn_hole_fill_2,rkcom_system_method,0.1,0.01,10,7.567460256673896,1.336413860321045
121,cnn_hole_fill_2,rkcom_system_method,0.25,0.01,9,6.831834217987306,1.1025750637054443
122,cnn_hole_fill_2,rkcom_system_method,0.5,0.01,9,7.470019892285251,1.0225002765655518
123,cnn_hole_fill_2,rkcom_system_method,0.75,0.01,9,6.926890675816344,1.3585991859436035
124,cnn_hole_fill_2,rkcom_system_method,1.0,0.01,9,6.985494213698012,1.214989423751831
125,cnn_hole_fill_2,rkcom_system_method,1.25,0.01,9,7.414094412160431,1.1587674617767334
126,cnn_hole_fill_2,rkcom_system_method,1.5,0.01,9,7.1054474491350135,1.0801866054534912
127,cnn_hole_fill_2,rkcom_system_method,1.75,0.01,9,7.117392325082805,1.1726188659667969
128,cnn_hole_fill_2,rkcom_system_method,2.0,0.01,9,7.150628307230897,1.1854803562164309
129,cnn_hole_fill_2,rkcom_system_method,2.25,0.01,9,7.170876180020818,1.247889518737793
130,cnn_hole_fill_2,rkcom_system_method,0.1,0.005,10,6.673037005811661,1.2105257511138916
131,cnn_hole_fill_2,rkcom_system_method,0.25,0.005,10,6.878469783683363,1.1750032901763916
132,cnn_hole_fill_2,rkcom_system_method,0.5,0.005,10,7.910849692492391,1.26874041557312
133,cnn_hole_fill_2,rkcom_system_method,0.75,0.005,10,7.417298102613289,1.3910436630249023
134,cnn_hole_fill_2,rkcom_system_method,1.0,0.005,10,7.934962727901931,1.376443862915039
135,cnn_hole_fill_2,rkcom_system_method,1.25,0.005,10,7.328833546377777,1.2753362655639648
136,cnn_hole_fill_2,rkcom_system_method,1.5,0.005,10,6.891433712324888,1.3046979904174805
137,cnn_hole_fill_2,rkcom_system_method,1.75,0.005,10,7.449769213923748,1.2165775299072266
138,cnn_hole_fill_2,rkcom_system_method,2.0,0.005,10,6.976994744374785,1.329820156097412
139,cnn_hole_fill_2,rkcom_system_method,2.25,0.005,10,7.427316526552263,1.242053747177124
140,cnn_hole_fill_2,rkcom_system_method,0.1,0.001,13,6.687916945018788,2.201117992401123
141,cnn_hole_fill_2,rkcom_system_method,0.25,0.001,12,6.729115375101479,1.4468960762023926
142,cnn_hole_fill_2,rkcom_system_method,0.5,0.001,12,6.8448801868206,1.511174201965332
143,cnn_hole_fill_2,rkcom_system_method,0.75,0.001,12,6.885223313270114,1.5920579433441162
144,cnn_hole_fill_2,rkcom_system_method,1.0,0.001,12,6.904895168748514,1.7742724418640137
145,cnn_hole_fill_2,rkcom_system_method,1.25,0.001,12,6.923413055690595,1.476144313812256
146,cnn_hole_fill_2,rkcom_system_method,1.5,0.001,13,6.982843014247182,1.9001562595367432
147,cnn_hole_fill_2,rkcom_system_method,1.75,0.001,12,6.634698287091716,1.6455867290496826
148,cnn_hole_fill_2,rkcom_system_method,2.0,0.001,13,6.653444219731995,2.043867588043213
149,cnn_hole_fill_2,rkcom_system_method,2.25,0.001,13,6.94214407300159,1.9069173336029053
150,cnn_hole_fill_2,rkcom_system_method,0.1,0.0005,15,7.424281515691384,2.0747406482696533
151,cnn_hole_fill_2,rkcom_system_method,0.25,0.0005,14,6.877243737265244,1.598419427871704
152,cnn_hole_fill_2,rkcom_system_method,0.5,0.0005,14,6.866656118180665,1.783674716949463
153,cnn_hole_fill_2,rkcom_system_method,0.75,0.0005,13,6.738819442551644,1.827474355697632
154,cnn_hole_fill_2,rkcom_system_method,1.0,0.0005,13,6.648409201588928,1.637217998504639
155,cnn_hole_fill_2,rkcom_system_method,1.25,0.0005,14,6.871542860222259,1.8114352226257324
156,cnn_hole_fill_2,rkcom_system_method,1.5,0.0005,15,7.4502935931691106,2.12869930267334
157,cnn_hole_fill_2,rkcom_system_method,1.75,0.0005,14,6.990461540983728,1.8257606029510496
158,cnn_hole_fill_2,rkcom_system_method,2.0,0.0005,14,6.817545588125567,1.933442115783692
159,cnn_hole_fill_2,rkcom_system_method,2.25,0.0005,14,6.760580992053214,2.0213096141815186
160,cnn_hole_fill_2,rkcom_system_method,0.1,0.0001,18,6.739999136657327,2.3116421699523926
161,cnn_hole_fill_2,rkcom_system_method,0.25,0.0001,19,6.871452292942684,2.837218761444092
162,cnn_hole_fill_2,rkcom_system_method,0.5,0.0001,19,6.905946788848659,2.735996723175049
163,cnn_hole_fill_2,rkcom_system_method,0.75,0.0001,18,7.020464151204491,2.532844066619873
164,cnn_hole_fill_2,rkcom_system_method,1.0,0.0001,18,7.158133211504028,2.494163990020752
165,cnn_hole_fill_2,rkcom_system_method,1.25,0.0001,19,6.90190178193393,2.6709134578704834
166,cnn_hole_fill_2,rkcom_system_method,1.5,0.0001,19,7.073223736949725,2.538828134536743
167,cnn_hole_fill_2,rkcom_system_method,1.75,0.0001,19,7.038885882429476,2.9057066440582275
168,cnn_hole_fill_2,rkcom_system_method,2.0,0.0001,19,6.875538114569732,2.9736762046813965
169,cnn_hole_fill_2,rkcom_system_method,2.25,0.0001,18,7.045894884249703,2.528709888458252
170,cnn_hole_fill_2,rkcom_system_method,0.1,5e-05,21,7.194296269823166,2.788917303085327
171,cnn_hole_fill_2,rkcom_system_method,0.25,5e-05,21,7.173012053610758,3.065924406051636
172,cnn_hole_fill_2,rkcom_system_method,0.5,5e-05,21,6.935177177440489,3.3490302562713623
173,cnn_hole_fill_2,rkcom_system_method,0.75,5e-05,20,6.658954995484587,2.893289804458618
174,cnn_hole_fill_2,rkcom_system_method,1.0,5e-05,21,6.493349859044393,3.5098588466644287
175,cnn_hole_fill_2,rkcom_system_method,1.25,5e-05,21,6.552911987783057,3.137627601623535
176,cnn_hole_fill_2,rkcom_system_method,1.5,5e-05,21,6.680348459330972,3.22094464302063
177,cnn_hole_fill_2,rkcom_system_method,1.75,5e-05,21,6.957941137295157,3.136518239974976
178,cnn_hole_fill_2,rkcom_system_method,2.0,5e-05,21,6.76904461720803,3.388456106185913
179,cnn_hole_fill_2,rkcom_system_method,2.25,5e-05,21,6.688289931140833,3.128885507583618
180,cnn_hole_fill_2,rk55_system_method,0.1,0.5,7,6.203453771753239,2.0039258003234863
181,cnn_hole_fill_2,rk55_system_method,0.25,0.5,6,6.586242726192017,1.1083652973175049
182,cnn_hole_fill_2,rk55_system_method,0.5,0.5,13,30.0,2.983945608139038
183,cnn_hole_fill_2,rk55_system_method,0.75,0.5,13,30.0,2.8723578453063965
184,cnn_hole_fill_2,rk55_system_method,1.0,0.5,5,7.139229766028457,0.7092335224151611
185,cnn_hole_fill_2,rk55_system_method,1.25,0.5,5,6.795010907697584,0.7620327472686768
186,cnn_hole_fill_2,rk55_system_method,1.5,0.5,5,6.081149891791904,0.9861655235290528
187,cnn_hole_fill_2,rk55_system_method,1.75,0.5,12,30.0,2.7437355518341064
188,cnn_hole_fill_2,rk55_system_method,2.0,0.5,5,5.953081306729226,1.275881052017212
189,cnn_hole_fill_2,rk55_system_method,2.25,0.5,5,7.145933639622747,1.188317060470581
190,cnn_hole_fill_2,rk55_system_method,0.1,0.1,7,6.749405433188153,1.2892374992370603
191,cnn_hole_fill_2,rk55_system_method,0.25,0.1,7,7.041175902836492,1.4560117721557615
192,cnn_hole_fill_2,rk55_system_method,0.5,0.1,7,8.174864740036577,1.3030674457550049
193,cnn_hole_fill_2,rk55_system_method,0.75,0.1,6,6.506949499959129,1.1649441719055176
194,cnn_hole_fill_2,rk55_system_method,1.0,0.1,6,6.704043004121392,1.5107903480529783
195,cnn_hole_fill_2,rk55_system_method,1.25,0.1,5,5.593169089556464,0.9656786918640136
196,cnn_hole_fill_2,rk55_system_method,1.5,0.1,7,7.632537899803225,1.8885612487792969
197,cnn_hole_fill_2,rk55_system_method,1.75,0.1,6,6.778122022454626,1.3002500534057615
198,cnn_hole_fill_2,rk55_system_method,2.0,0.1,6,6.545587472154159,1.4897346496582031
199,cnn_hole_fill_2,rk55_system_method,2.25,0.1,6,7.856429593017806,1.1195173263549805
200,cnn_hole_fill_2,rk55_system_method,0.1,0.05,9,7.502197631758529,2.216795921325684
201,cnn_hole_fill_2,rk55_system_method,0.25,0.05,7,6.233989583577902,1.6058807373046875
202,cnn_hole_fill_2,rk55_system_method,0.5,0.05,7,6.678892298032469,1.0920085906982422
203,cnn_hole_fill_2,rk55_system_method,0.75,0.05,7,7.694483345895743,1.2421469688415527
204,cnn_hole_fill_2,rk55_system_method,1.0,0.05,6,5.903421085936005,1.287562370300293
205,cnn_hole_fill_2,rk55_system_method,1.25,0.05,6,6.376467332189771,1.252920150756836
206,cnn_hole_fill_2,rk55_system_method,1.5,0.05,7,6.813319341866016,1.4757044315338137
207,cnn_hole_fill_2,rk55_system_method,1.75,0.05,8,8.24842001992906,2.60787320137024
208,cnn_hole_fill_2,rk55_system_method,2.0,0.05,7,7.037498930576261,2.001670360565185
209,cnn_hole_fill_2,rk55_system_method,2.25,0.05,7,7.251381024794301,1.6851232051849363
210,cnn_hole_fill_2,rk55_system_method,0.1,0.01,10,6.913121791186679,2.061368465423584
